Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","0805-NO",-123.242641,-45.242641,-90.000000,bottom
"C2","10uF","0805-NO",-133.242641,-44.242641,0.000000,bottom
"C3","10uF","0805-NO",-133.292641,-42.242641,0.000000,bottom
"C4","1uF","0805-NO",-133.242641,-40.242641,0.000000,bottom
"C5","10uF","0805-NO",-133.242641,-38.242641,0.000000,bottom
"C6","10uF","0805-NO",-133.242641,-36.242641,0.000000,bottom
"C7","0.1uF","0805-NO",-104.242641,-41.242641,0.000000,bottom
"C8","1uF","0805-NO",-104.242641,-39.242641,0.000000,bottom
"C9","0.1uF","0805-NO",-104.242641,-43.242641,0.000000,bottom
"C10","10uF","0805-NO",-88.242641,-83.242641,0.000000,bottom
"C11","10uF","0805-NO",-88.242641,-85.242641,0.000000,bottom
"C12","10uF","0805-NO",-88.242641,-87.242641,0.000000,bottom
"C13","1uF","0805-NO",-123.142641,-69.242641,0.000000,bottom
"C14","1uF","0805-NO",-80.242641,-34.242641,180.000000,bottom
"C15","10uF","0805-NO",-114.192641,-30.842641,180.000000,bottom
"C16","10uF","0805-NO",-114.192641,-32.842641,180.000000,bottom
"C17","10uF","0805-NO",-114.192641,-34.842641,180.000000,bottom
"C18","10uF","0805-NO",-114.192641,-36.842641,180.000000,bottom
"C19","10uF","0805-NO",-128.292641,-36.242641,180.000000,bottom
"D36","MBR540","SOD-123",-126.242641,-45.292641,-90.000000,bottom
"D37","ORANGE","CHIPLED_0603_NOOUTLINE",-121.292641,-36.242641,90.000000,bottom
"IC1","CP2102N-24","QFN24_4MM_SMSC",-98.242641,-41.242641,-90.000000,bottom
"IC2","TCA8418","QFN24_4MM_SMSC",-81.242641,-91.242641,-90.000000,bottom
"Q1","DMG3415U","SOT23-R",-131.242641,-48.242641,180.000000,bottom
"Q2","SI2302","SOT23",-111.742641,-75.992641,-90.000000,bottom
"Q3","BSS138","SOT363",-81.642641,-82.642641,180.000000,bottom
"Q4","DUAL NPN","SOT363",-91.642641,-40.042641,180.000000,bottom
"R2","R_Small_US","R_0402_1005Metric",-114.442641,-76.042641,90.000000,bottom
"R3","100K","0603-NO",-134.242641,-48.242641,-90.000000,bottom
"R4","100K","0603-NO",-120.042641,-45.242641,180.000000,bottom
"R5","5.1K","0603-NO",-99.242641,-35.242641,90.000000,bottom
"R6","5.1K","0603-NO",-102.042641,-35.242641,90.000000,bottom
"R7","47K","RESPACK_4X0603",-105.842641,-34.842641,90.000000,bottom
"R8","10K Pack","RESPACK_4X0603",-73.042641,-82.842641,180.000000,bottom
"R9","10K","0603-NO",-74.842641,-92.042641,180.000000,bottom
"R10","10K","0603-NO",-74.842641,-89.242641,180.000000,bottom
"R11","5.1K","0603-NO",-124.242641,-37.242641,180.000000,bottom
"R12","5.1K","0603-NO",-124.392641,-40.242641,0.000000,bottom
"R13","10K","0603-NO",-114.092641,-44.542541,180.000000,bottom
"R14","200K","0603-NO",-123.092641,-65.242641,0.000000,bottom
"R15","200K","0603-NO",-123.092641,-67.242641,180.000000,bottom
"R16","10K","0603-NO",-80.242641,-36.242641,180.000000,bottom
"R17","4.7","0805-NO",-83.242641,-65.442641,180.000000,bottom
"R18","10K","0603-NO",-92.242641,-36.242641,180.000000,bottom
"R19","10K","0603-NO",-91.642641,-42.842641,0.000000,bottom
"U1","AP2112-3.3","SOT23-5",-120.192641,-40.942541,180.000000,bottom
"U2","AP2127K-3.3","SOT-23-5",-88.380141,-91.242641,180.000000,bottom
"U3","AP2112-3.3","SOT23-5",-113.892641,-41.342541,180.000000,bottom
"U4","MCP73831T-2ACI/OT","SOT23-5",-128.242641,-39.542741,0.000000,bottom
"X2","ESP32-PICO-MINI-02MINI","ESP32-PICO-MINI",-111.242641,-65.242641,180.000000,bottom
