Designator,Mid X,Mid Y,Layer,Rotation
C1,123.242641,-45.242641,bottom,-90
C2,133.242641,-44.242641,bottom,0
C3,133.292641,-42.242641,bottom,0
C4,133.242641,-40.242641,bottom,0
C5,133.242641,-38.242641,bottom,0
C6,133.242641,-36.242641,bottom,0
C7,104.242641,-41.242641,bottom,0
C8,104.242641,-39.242641,bottom,0
C9,104.242641,-43.242641,bottom,0
C10,88.242641,-83.242641,bottom,0
C11,88.242641,-85.242641,bottom,0
C12,88.242641,-87.242641,bottom,0
C13,123.142641,-69.242641,bottom,0
C14,80.242641,-34.242641,bottom,180
C15,114.192641,-30.842641,bottom,180
C16,114.192641,-32.842641,bottom,180
C17,114.192641,-34.842641,bottom,180
C18,114.192641,-36.842641,bottom,180
C19,128.292641,-36.242641,bottom,180
D36,126.242641,-45.292641,bottom,-90
D37,121.292641,-36.242641,bottom,0
IC1,98.242641,-41.242641,bottom,-90
IC2,81.242641,-91.242641,bottom,-90
Q1,131.242641,-48.242641,bottom,270
Q2,111.742641,-75.992641,bottom,180
Q3,81.642641,-82.642641,bottom,270
Q4,91.642641,-40.042641,bottom,270
R2,114.442641,-76.042641,bottom,90
R3,134.242641,-48.242641,bottom,-90
R4,120.042641,-45.242641,bottom,180
R5,99.242641,-35.242641,bottom,90
R6,102.042641,-35.242641,bottom,90
R7,105.842641,-34.842641,bottom,90
R8,73.042641,-82.842641,bottom,180
R9,74.842641,-92.042641,bottom,180
R10,74.842641,-89.242641,bottom,180
R11,124.242641,-37.242641,bottom,180
R12,124.392641,-40.242641,bottom,0
R13,114.092641,-44.542541,bottom,180
R14,123.092641,-65.242641,bottom,0
R15,123.092641,-67.242641,bottom,180
R16,80.242641,-36.242641,bottom,180
R17,83.242641,-65.442641,bottom,180
R18,92.242641,-36.242641,bottom,180
R19,91.642641,-42.842641,bottom,0
U1,120.192641,-40.942541,bottom,270
U2,88.380141,-91.242641,bottom,180
U3,113.892641,-41.342541,bottom,270
U4,128.242641,-39.542741,bottom,90
X2,111.242641,-65.242641,bottom,0
D1,78.242641,-102.242641,top,-90
D2,78.242641,-114.242641,top,-90
D3,78.242641,-126.242641,top,-90
D4,78.242641,-138.242641,top,-90
D5,78.242641,-150.242641,top,-90
D6,78.242641,-162.242641,top,-90
D7,78.242641,-174.242641,top,-90
D8,92.242641,-102.242641,top,-90
D9,92.242641,-114.242641,top,-90
D10,92.242641,-126.242641,top,-90
D11,92.242641,-138.242641,top,-90
D12,92.242641,-150.242641,top,-90
D13,92.242641,-162.242641,top,-90
D14,92.242641,-174.242641,top,-90
D15,106.242641,-102.242641,top,-90
D16,106.242641,-114.242641,top,-90
D17,106.242641,-126.242641,top,-90
D18,106.242641,-138.242641,top,-90
D19,106.242641,-150.242641,top,-90
D20,106.242641,-162.242641,top,-90
D21,106.242641,-174.242641,top,-90
D22,120.242641,-102.242641,top,-90
D23,120.242641,-114.242641,top,-90
D24,120.242641,-126.242641,top,-90
D25,120.242641,-138.242641,top,-90
D26,120.242641,-150.242641,top,-90
D27,120.242641,-162.242641,top,-90
D28,120.242641,-174.242641,top,-90
D29,134.242641,-102.242641,top,-90
D30,134.242641,-114.242641,top,-90
D31,134.242641,-126.242641,top,-90
D32,134.242641,-138.242641,top,-90
D33,134.242641,-150.242641,top,-90
D34,134.242641,-162.242641,top,-90
D35,134.242641,-174.242641,top,-90
R1,106.242641,-110.242641,top,-90
SW1,73.242641,-102.242641,top,0
SW2,73.242641,-114.242641,top,0
SW3,73.242641,-126.242641,top,0
SW4,73.242641,-138.242641,top,0
SW5,73.242641,-150.242641,top,0
SW6,73.242641,-162.242641,top,0
SW7,73.242641,-174.242641,top,0
SW8,87.242641,-102.242641,top,0
SW9,87.242641,-114.242641,top,0
SW10,87.242641,-126.242641,top,0
SW11,87.242641,-138.242641,top,0
SW12,87.242641,-150.242641,top,0
SW13,87.242641,-162.242641,top,0
SW14,87.242641,-174.242641,top,0
SW15,101.242641,-102.242641,top,0
SW16,101.242641,-114.242641,top,0
SW17,101.242641,-126.242641,top,0
SW18,101.242641,-138.242641,top,0
SW19,101.242641,-150.242641,top,0
SW20,101.242641,-162.242641,top,0
SW21,101.242641,-174.242641,top,0
SW22,115.242641,-102.242641,top,0
SW23,115.242641,-114.242641,top,0
SW24,115.242641,-126.242641,top,0
SW25,115.242641,-138.242641,top,0
SW26,115.242641,-150.242641,top,0
SW27,115.242641,-162.242641,top,0
SW28,115.242641,-174.242641,top,0
SW29,129.242641,-102.242641,top,0
SW30,129.242641,-114.242641,top,0
SW31,129.242641,-126.242641,top,0
SW32,129.242641,-138.242641,top,0
SW33,129.242641,-150.242641,top,0
SW34,129.242641,-162.242641,top,0
SW35,129.242641,-174.242641,top,0
SW37,82.242641,-29.842641,top,0
X1,101.242641,-28.342641,top,180
