Ref,Val,Package,PosX,PosY,Rot,Side
"D1","1N4148WT","D_SOD-523",78.242641,-102.242641,-90.000000,top
"D2","1N4148WT","D_SOD-523",78.242641,-114.242641,-90.000000,top
"D3","1N4148WT","D_SOD-523",78.242641,-126.242641,-90.000000,top
"D4","1N4148WT","D_SOD-523",78.242641,-138.242641,-90.000000,top
"D5","1N4148WT","D_SOD-523",78.242641,-150.242641,-90.000000,top
"D6","1N4148WT","D_SOD-523",78.242641,-162.242641,-90.000000,top
"D7","1N4148WT","D_SOD-523",78.242641,-174.242641,-90.000000,top
"D8","1N4148WT","D_SOD-523",92.242641,-102.242641,-90.000000,top
"D9","1N4148WT","D_SOD-523",92.242641,-114.242641,-90.000000,top
"D10","1N4148WT","D_SOD-523",92.242641,-126.242641,-90.000000,top
"D11","1N4148WT","D_SOD-523",92.242641,-138.242641,-90.000000,top
"D12","1N4148WT","D_SOD-523",92.242641,-150.242641,-90.000000,top
"D13","1N4148WT","D_SOD-523",92.242641,-162.242641,-90.000000,top
"D14","1N4148WT","D_SOD-523",92.242641,-174.242641,-90.000000,top
"D15","1N4148WT","D_SOD-523",106.242641,-102.242641,-90.000000,top
"D16","1N4148WT","D_SOD-523",106.242641,-114.242641,-90.000000,top
"D17","1N4148WT","D_SOD-523",106.242641,-126.242641,-90.000000,top
"D18","1N4148WT","D_SOD-523",106.242641,-138.242641,-90.000000,top
"D19","1N4148WT","D_SOD-523",106.242641,-150.242641,-90.000000,top
"D20","1N4148WT","D_SOD-523",106.242641,-162.242641,-90.000000,top
"D21","1N4148WT","D_SOD-523",106.242641,-174.242641,-90.000000,top
"D22","1N4148WT","D_SOD-523",120.242641,-102.242641,-90.000000,top
"D23","1N4148WT","D_SOD-523",120.242641,-114.242641,-90.000000,top
"D24","1N4148WT","D_SOD-523",120.242641,-126.242641,-90.000000,top
"D25","1N4148WT","D_SOD-523",120.242641,-138.242641,-90.000000,top
"D26","1N4148WT","D_SOD-523",120.242641,-150.242641,-90.000000,top
"D27","1N4148WT","D_SOD-523",120.242641,-162.242641,-90.000000,top
"D28","1N4148WT","D_SOD-523",120.242641,-174.242641,-90.000000,top
"D29","1N4148WT","D_SOD-523",134.242641,-102.242641,-90.000000,top
"D30","1N4148WT","D_SOD-523",134.242641,-114.242641,-90.000000,top
"D31","1N4148WT","D_SOD-523",134.242641,-126.242641,-90.000000,top
"D32","1N4148WT","D_SOD-523",134.242641,-138.242641,-90.000000,top
"D33","1N4148WT","D_SOD-523",134.242641,-150.242641,-90.000000,top
"D34","1N4148WT","D_SOD-523",134.242641,-162.242641,-90.000000,top
"D35","1N4148WT","D_SOD-523",134.242641,-174.242641,-90.000000,top
"R1","R_Small_US","R_0402_1005Metric",106.242641,-110.242641,-90.000000,top
