Designator,Mid X,Mid Y,Layer,Rotation
D1,71,-102,top,90
D2,71,-114,top,90
D3,71,-126,top,90
D4,71,-138,top,90
D5,71,-150,top,90
D6,71,-162,top,90
D7,71,-174,top,90
D8,84,-101.98,top,90
D9,84,-114,top,90
D10,84,-126,top,90
D11,84,-138,top,90
D12,84,-150,top,90
D13,84,-162,top,90
D14,84,-174,top,90
D15,97,-102,top,90
D16,97,-114,top,90
D17,97,-126,top,90
D18,97,-138,top,90
D19,97,-150,top,90
D20,97,-162,top,90
D21,97,-174,top,90
D22,110,-102.125,top,90
D23,110,-114,top,90
D24,110,-126,top,90
D25,110,-138,top,90
D26,110,-150,top,90
D27,110,-162,top,90
D28,110,-174,top,90
D29,123,-102.125,top,90
D30,123,-114,top,90
D31,123,-126,top,90
D32,123,-138,top,90
D33,123,-150,top,90
D34,123,-162,top,90
D35,123,-174,top,90
Q1,71.8,-27.2,top,-90
Q2,79.875,-27.225,top,-90
R1,97,-117.71,top,90
R2,71.2,-31.8,top,-90
SW1,66,-102,top,0
SW2,66,-114,top,0
SW3,66,-126,top,0
SW4,66,-138,top,0
SW5,66,-150,top,0
SW6,66,-162,top,0
SW7,66,-174,top,0
SW8,79.06,-101.98,top,0
SW9,79,-114,top,0
SW10,79,-126,top,0
SW11,79,-138,top,0
SW12,79,-150,top,0
SW13,79,-162,top,0
SW14,79,-174,top,0
SW15,92,-102,top,0
SW16,92,-114,top,0
SW17,92,-126,top,0
SW18,92,-138,top,0
SW19,92,-150,top,0
SW20,92,-162,top,0
SW21,92,-174,top,0
SW22,105,-102.125,top,0
SW23,105,-114,top,0
SW24,105,-126,top,0
SW25,105,-138,top,0
SW26,105,-150,top,0
SW27,105,-162,top,0
SW28,105,-174,top,0
SW29,118,-102.125,top,0
SW30,118,-114,top,0
SW31,118,-126,top,0
SW32,118,-138,top,0
SW33,118,-150,top,0
SW34,118,-162,top,0
SW35,118,-174,top,0
